序号,转换后JH,JX,dy➗dx
778,B16-X19,0,0
779,B16-X19,0.44,0.038194444
780,B16-X19,0.38,-0.002139037
781,B16-X19,0.35,-0.001087745
782,B16-X19,0.62,0.009571074
783,B16-X19,1.36,0.026494808
784,B16-X19,1.88,0.056768559
785,B16-X19,2.23,0.036997886
786,B16-X19,2.55,0.034820457
787,B16-X19,3.05,0.052029136
788,B16-X19,3.62,0.059436913
789,B16-X19,4.13,0.05334728
790,B16-X19,5.22,0.114857745
791,B16-X19,6.22,0.104275287
792,B16-X19,7.21,0.102590674
793,B16-X19,8.21,0.106269926
794,B16-X19,9.22,0.104554865
795,B16-X19,10.21,0.10301769
796,B16-X19,11.3,0.113541667
797,B16-X19,12.45,0.119294606
798,B16-X19,13.48,0.107068607
799,B16-X19,14.55,0.111342352
800,B16-X19,15.52,0.101041667
801,B16-X19,16.69,0.123678647
802,B16-X19,17.71,0.10748156
803,B16-X19,18.77,0.111578947
804,B16-X19,19.62,0.08994709
805,B16-X19,20.71,0.113423517
806,B16-X19,21.75,0.107883817
807,B16-X19,22.77,0.106360792
808,B16-X19,23.92,0.11954262
809,B16-X19,24.92,0.10373444
810,B16-X19,25.85,0.096673597
811,B16-X19,26.74,0.092515593
812,B16-X19,27.53,0.082206035
813,B16-X19,27.19,-0.063789869
814,B16-X19,26.87,-0.063492063
815,B16-X19,26.81,-0.006362672
816,B16-X19,26.64,-0.017801047
817,B16-X19,26.46,-0.01875
818,B16-X19,27.53,0.112394958
819,B16-X19,28.58,0.108921162
820,B16-X19,29.82,0.128364389
821,B16-X19,30.95,0.118077325
822,B16-X19,32.01,0.108941418
823,B16-X19,35.44,0.119637251
824,B16-X19,36.32,0.091003102
825,B16-X19,35.86,-0.016016713
826,B16-X19,35.24,-0.021535255
827,B16-X19,34.58,-0.023076923
828,B16-X19,37.27,0.093111803
829,B16-X19,36.82,-0.015668524
830,B16-X19,36.39,-0.014899515
831,B16-X19,35.98,-0.014211438
832,B16-X19,35.51,-0.016382015
833,B16-X19,35.07,-0.015416959
834,B16-X19,36.34,0.04406662
835,B16-X19,36,-0.011871508
836,B16-X19,35.68,-0.011145942
837,B16-X19,35.24,-0.015277778
838,B16-X19,38.02,0.09693166
839,B16-X19,38.5,0.016672456
840,B16-X19,38.5,0
841,B16-X19,37.75,-0.025951557
842,B16-X19,37.53,-0.007638889
843,B16-X19,36.65,-0.030662021
844,B16-X19,36.1,-0.019277953
845,B16-X19,35.51,-0.020514604
846,B16-X19,37.49,0.068726137
847,B16-X19,37.23,-0.009068713
848,B16-X19,36.96,-0.009401114
849,B16-X19,37.31,0.012152778
850,B16-X19,37.71,0.013981125
851,B16-X19,36.74,-0.033963585
852,B16-X19,36.41,-0.011550578
853,B16-X19,36.08,-0.011422638
854,B16-X19,35.82,-0.008962427
855,B16-X19,36.65,0.02862069
856,B16-X19,36.21,-0.015352408
857,B16-X19,37,0.027593433
858,B16-X19,36.39,-0.021531945
859,B16-X19,35.82,-0.019909186
860,B16-X19,35.43,-0.013727561
861,B16-X19,35.07,-0.012495661
862,B16-X19,36.1,0.03593859
863,B16-X19,36.78,0.023652174
864,B16-X19,36.51,-0.00943726
865,B16-X19,36.34,-0.005952381
866,B16-X19,36.01,-0.011514306
867,B16-X19,35.86,-0.005265005
868,B16-X19,35.86,0
869,B16-X19,35.95,0.003043625
870,B16-X19,36.19,0.008391608
871,B16-X19,36.47,0.009749304
872,B16-X19,36.47,0
873,B16-X19,36.47,0
874,B16-X19,36.56,0.003129346
875,B16-X19,36.74,0.006247831
876,B16-X19,37.62,0.030534351
877,B16-X19,38.14,0.018124782
878,B16-X19,37.88,-0.008971705
879,B16-X19,38.63,0.026196298
880,B16-X19,38.69,0.002110447
881,B16-X19,38.76,0.002437326
882,B16-X19,38.38,-0.013217391
883,B16-X19,38.19,-0.006620209
884,B16-X19,38,-0.006599514
885,B16-X19,37.79,-0.007304348
886,B16-X19,37.52,-0.009361997
887,B16-X19,37.4,-0.004216444
888,B16-X19,36.96,-0.015341702
889,B16-X19,36.17,-0.027593433
890,B16-X19,35.46,-0.024903543
891,B16-X19,34.8,-0.022908712
892,B16-X19,33.49,-0.045423024
893,B16-X19,34.58,0.037847222
894,B16-X19,35.68,0.038062284
895,B16-X19,36.04,0.012530456
896,B16-X19,36.39,0.012280702
897,B16-X19,35.16,-0.042782609
898,B16-X19,34.94,-0.007681564
899,B16-X19,35.29,0.012289326
900,B16-X19,35.11,-0.006271777
901,B16-X19,34.54,-0.019764216
902,B16-X19,33.57,-0.033715676
903,B16-X19,34.89,0.046380885
904,B16-X19,36.12,0.042976939
905,B16-X19,35.42,-0.024424285
906,B16-X19,34.98,-0.015482055
907,B16-X19,33.44,-0.053472222
908,B16-X19,33.97,0.01851205
909,B16-X19,35.77,0.062565172
910,B16-X19,35.02,-0.025924646
911,B16-X19,34.94,-0.002777778
912,B16-X19,33.93,-0.034827586
913,B16-X19,33.13,-0.027681661
914,B16-X19,32.65,-0.01676563
915,B16-X19,33.57,0.031889081
916,B16-X19,34.79,0.049094567
917,B16-X19,34.98,0.04859335
918,B16-X19,34.72,-0.009090909
919,B16-X19,33.79,-0.032483409
920,B16-X19,32.87,-0.031800899
921,B16-X19,33.99,0.039078856
922,B16-X19,36.06,0.071626298
923,B16-X19,35.99,-0.002438175
924,B16-X19,35.46,-0.018473336
925,B16-X19,35.33,-0.004529617
926,B16-X19,35.33,0
927,B16-X19,35.51,0.006295908
928,B16-X19,35.73,0.007676204
929,B16-X19,35.88,0.012975779
930,B16-X19,35.88,0
1883,B16-X32,0,
1884,B16-X32,0.16,0.005369128
