序号,转换后JH,JX,Dogleg Severity
8299,B3-X91,0,0.00567271
8300,B3-X91,0.31,0.011823036
8301,B3-X91,0.35,0.001438849
8302,B3-X91,0.39,0.001440922
8303,B3-X91,0.4,0.000359195
8304,B3-X91,0.62,0.007670851
8305,B3-X91,0.35,-0.009397842
8306,B3-X91,0.98,0.031049778
8307,B3-X91,1.98,0.103412616
8308,B3-X91,2.79,0.084024896
8309,B3-X91,3.79,0.105485232
8310,B3-X91,4.84,0.108471074
8311,B3-X91,5.77,0.096976017
8312,B3-X91,6.88,0.115987461
8313,B3-X91,7.93,0.109261186
8314,B3-X91,8.89,0.101265823
8315,B3-X91,9.93,0.10935857
8316,B3-X91,10.6,0.070675105
8317,B3-X91,11.75,0.120041754
8318,B3-X91,12.76,0.105981112
8319,B3-X91,13.73,0.102105263
8320,B3-X91,14.81,0.114044351
8321,B3-X91,15.78,0.103632479
8322,B3-X91,16.87,0.113660063
8323,B3-X91,17.8,0.097894737
8324,B3-X91,18.85,0.109489051
8325,B3-X91,19.78,0.097484277
8326,B3-X91,20.83,0.110642782
8327,B3-X91,21.82,0.103556485
8328,B3-X91,22.86,0.111468382
8329,B3-X91,23.7,0.087774295
8330,B3-X91,24.74,0.11028632
8331,B3-X91,24.97,0.024338624
8332,B3-X91,25.44,0.049111808
8333,B3-X91,25.71,0.028601695
8334,B3-X91,26.37,0.034554974
8335,B3-X91,26.2,-0.008826584
8336,B3-X91,27.2,0.036245016
8337,B3-X91,27.2,0
8338,B3-X91,27.3,0.003478261
8339,B3-X91,27.1,-0.006939625
8340,B3-X91,27.7,0.020964361
8341,B3-X91,27.25,-0.015806112
8342,B3-X91,26.32,-0.032585844
8343,B3-X91,26.34,0.000700771
8344,B3-X91,27,0.023004531
8345,B3-X91,26.67,-0.011478261
8346,B3-X91,27,0.011454356
8347,B3-X91,25.8,-0.042492918
8348,B3-X91,26.34,0.018967334
8349,B3-X91,26.41,0.002430556
8350,B3-X91,26.51,0.003485535
8351,B3-X91,26.7,0.006604101
8352,B3-X91,26.72,0.000696621
8353,B3-X91,26.54,-0.006333568
8354,B3-X91,26.58,0.001401542
8355,B3-X91,27.38,0.027894003
8356,B3-X91,27.55,0.00595864
8357,B3-X91,27.2,-0.012190874
8358,B3-X91,26.18,-0.035490605
8359,B3-X91,27.07,0.030967293
8360,B3-X91,26.85,-0.007848733
8361,B3-X91,26.54,-0.010869565
8362,B3-X91,25.36,-0.04107205
8363,B3-X91,25.49,0.004572635
8364,B3-X91,26.32,0.028950122
8365,B3-X91,26.5,0.006302521
8366,B3-X91,26.51,0.000348068
8367,B3-X91,26.3,-0.022801303
8368,B3-X91,25.88,-0.022001048
8369,B3-X91,25.76,-0.012232416
8370,B3-X91,25.54,-0.011627907
8371,B3-X91,26.4,0.03018603
8372,B3-X91,25.1,-0.045502275
8373,B3-X91,25.77,0.023641496
8374,B3-X91,26.5,0.025914093
8375,B3-X91,27,0.017385257
8376,B3-X91,25.75,-0.043372658
8377,B3-X91,26.41,0.023044693
8378,B3-X91,25.31,-0.044123546
8379,B3-X91,24.67,-0.022479803
8380,B3-X91,25,0.011570827
8381,B3-X91,24.96,-0.001399091
8382,B3-X91,25.46,0.017482517
8383,B3-X91,26.05,0.020500347
8384,B3-X91,23.06,-0.104582022
8385,B3-X91,23.1,0.002106372
8386,B3-X91,23.86,0.039895013
8387,B3-X91,25.4,0.053546592
8388,B3-X91,26.24,0.029288703
8389,B3-X91,25.58,-0.022932592
8390,B3-X91,25.4,-0.006267409
8391,B3-X91,24.96,-0.015454865
8392,B3-X91,25.05,0.003145753
8393,B3-X91,25.88,0.029102384
8394,B3-X91,25.6,-0.009852217
8395,B3-X91,26.32,0.025157233
8396,B3-X91,26.46,0.004922644
8397,B3-X91,26.85,0.015057915
8398,B3-X91,26.89,0.013377926
8399,B3-X91,27.29,0.014015417
8400,B3-X91,27.69,0.014010508
8401,B3-X91,28.49,0.028070175
8402,B3-X91,28.56,0.003595275
8403,B3-X91,28.79,0.020909091
