序号,转换后JH,JX,Dogleg Severity,status
1,B16-X1,0,0.547,0
2,B16-X1,0.21,0.0974,0
3,B16-X1,0.3,0.282,0
4,B16-X1,0.48,0.187,0
5,B16-X1,0.53,0.668,0
6,B16-X1,0.92,3.21,0
7,B16-X1,1.88,2.2,1
8,B16-X1,2.56,3.23,1
9,B16-X1,3.55,2.41,1
10,B16-X1,4.26,3.5,1
11,B16-X1,5.31,2.35,1
12,B16-X1,6.06,3.73,1
13,B16-X1,7.24,2.41,1
14,B16-X1,8.01,2.27,1
15,B16-X1,8.68,2.14,1
16,B16-X1,9.35,2.67,1
17,B16-X1,10.21,2.6,1
18,B16-X1,11.04,2.34,1
19,B16-X1,11.79,2.34,1
20,B16-X1,12.54,2.84,1
21,B16-X1,13.45,2.41,1
22,B16-X1,14.22,2.54,1
23,B16-X1,15.03,2.82,1
24,B16-X1,15.68,1.75,1
25,B16-X1,16.23,2.47,1
26,B16-X1,17.01,2.64,1
27,B16-X1,17.84,0.525,1
28,B16-X1,18.28,0.264,2
29,B16-X1,18.15,0.734,2
30,B16-X1,18.06,0.593,2
31,B16-X1,18,0.772,2
32,B16-X1,18.13,0.184,2
33,B16-X1,18.21,0.23,2
34,B16-X1,18.24,0.103,2
35,B16-X1,18.2,0.308,2
36,B16-X1,18,0.211,2
37,B16-X1,17.8,0.0637,2
38,B16-X1,17.8,0.0524,2
39,B16-X1,17.75,0.258,2
40,B16-X1,17.7,0.131,2
41,B16-X1,17.67,1.14,2
42,B16-X1,18.35,2.05,2
43,B16-X1,19.47,0.503,2
44,B16-X1,19.12,0.333,2
45,B16-X1,18.94,0.472,2
46,B16-X1,18.53,0.534,2
47,B16-X1,18.06,0.295,2
48,B16-X1,17.92,0.312,2
49,B16-X1,17.71,0.302,2
50,B16-X1,17.8,0.134,2
51,B16-X1,17.89,0.299,2
52,B16-X1,17.83,0.34,2
53,B16-X1,17.71,1.68,2
54,B16-X1,18.33,0.843,2
55,B16-X1,17.67,0.336,2
56,B16-X1,17.35,0.355,2
57,B16-X1,17.01,1.95,2
58,B16-X1,18.85,1.32,2
59,B16-X1,19.86,0.13,2
60,B16-X1,19.74,0.0628,2
61,B16-X1,19.69,0.344,2
62,B16-X1,19.46,0.164,2
63,B16-X1,19.34,0.353,2
64,B16-X1,19.01,0.344,2
65,B16-X1,18.68,0.545,2
66,B16-X1,18.55,0.64,2
67,B16-X1,18.41,0.298,2
68,B16-X1,18.23,0.58,2
69,B16-X1,17.93,0.392,2
70,B16-X1,17.58,0.285,2
71,B16-X1,17.31,1.84,2
72,B16-X1,18.89,0.705,2
73,B16-X1,19.56,0.141,2
74,B16-X1,19.47,0.104,2
75,B16-X1,19.47,0.479,2
76,B16-X1,19.88,0.526,2
77,B16-X1,20.35,0.269,2
78,B16-X1,20.43,0.275,2
79,B16-X1,20.52,0.966,2
80,B16-X1,20.13,0.685,2
81,B16-X1,19.91,0.182,2
82,B16-X1,19.75,0.347,2
83,B16-X1,19.42,0.532,2
84,B16-X1,19.12,0.495,2
85,B16-X1,19.6,0.177,2
86,B16-X1,19.6,0.183,2
87,B16-X1,19.65,0.891,2
88,B16-X1,18.8,0.772,2
89,B16-X1,18.06,1.12,2
90,B16-X1,17,1.27,2
91,B16-X1,15.78,1.17,2
92,B16-X1,16.88,0.218,2
93,B16-X1,16.83,0.747,2
94,B16-X1,17.51,2.19,2
95,B16-X1,19.6,0.749,2
96,B16-X1,19.91,0.909,2
97,B16-X1,19.25,0.748,2
98,B16-X1,18.54,0.867,2
99,B16-X1,17.71,1.1,2
100,B16-X1,16.69,2.53,2
101,B16-X1,18.75,1.94,2
102,B16-X1,20.37,0.824,2
103,B16-X1,19.59,0.7,2
104,B16-X1,18.94,0.37,2
105,B16-X1,18.59,0.505,2
106,B16-X1,18.4,1.25,2
107,B16-X1,17.23,2.22,2
108,B16-X1,16.01,2.45,2
109,B16-X1,17.8,0.531,2
110,B16-X1,17.93,2.19,2
111,B16-X1,15.86,2.4,2
112,B16-X1,18.15,1.61,2
113,B16-X1,19.67,0.892,2
114,B16-X1,18.9,0.476,2
115,B16-X1,18.72,0.43,2
116,B16-X1,18.46,1.07,2
117,B16-X1,17.97,0.666,2
118,B16-X1,18.59,0.523,2
119,B16-X1,18.11,0.651,2
120,B16-X1,17.91,0.277,2
121,B16-X1,17.71,0.973,2
122,B16-X1,18.06,0.696,2
123,B16-X1,17.45,0.591,2
124,B16-X1,17.75,0.58,2
125,B16-X1,17.97,0.411,2
126,B16-X1,18.33,0.362,2
127,B16-X1,18.5,0.284,2
128,B16-X1,18.72,0.282,2
129,B16-X1,18.55,0,2
130,B16-X1,18.55,0,2
131,B16-X1,18.55,0,2
132,B16-X13,0,0,0
133,B16-X13,0,0.36,0
134,B16-X13,0.3,0.449,0
135,B16-X13,0.4,0.265,0
136,B16-X13,0.53,0.147,0
137,B16-X13,0.44,0.241,0
138,B16-X13,0.26,0.18,0
139,B16-X13,0.33,0.083,0
140,B16-X13,0.37,0.151,0
141,B16-X13,0.29,0.34,0
142,B16-X13,0.57,0.16,0
143,B16-X13,0.62,0,0
144,B16-X13,0.62,0,0
145,B16-X13,0.62,0.283,0
146,B16-X13,0.65,0.47,0
147,B16-X13,1.02,0.3,0
148,B16-X13,0.88,0.275,0
149,B16-X13,0.95,0.334,0
150,B16-X13,1.1,1.16,0
151,B16-X13,0.52,0.23,0
152,B16-X13,0.4,0.608,0
153,B16-X13,0.72,0.733,0
154,B16-X13,1.05,0.656,0
155,B16-X13,1.41,0.0939,0
156,B16-X13,1.32,0.117,0
157,B16-X13,1.21,0.211,0
158,B16-X13,1.01,2.28,0
159,B16-X13,2.11,4.39,1
160,B16-X13,3.47,4.4,1
161,B16-X13,4.88,5.62,1
162,B16-X13,6.66,5.25,1
163,B16-X13,8.33,4.83,1
164,B16-X13,9.86,5.47,1
165,B16-X13,11.59,4.67,1
166,B16-X13,13.07,4.86,1
167,B16-X13,14.53,4.65,1
168,B16-X13,15.86,3.97,1
169,B16-X13,17.01,4.13,1
170,B16-X13,18.32,4.18,1
171,B16-X13,19.65,4.02,1
172,B16-X13,20.92,4.75,1
173,B16-X13,22.06,4.64,1
174,B16-X13,23.18,4.61,1
175,B16-X13,24.35,4.23,1
176,B16-X13,25.69,4.24,1
177,B16-X13,27.03,3.7,1
178,B16-X13,28.21,4.06,1
179,B16-X13,29.02,3.04,1
180,B16-X13,30.01,0.16,2
181,B16-X13,29.98,0.109,2
182,B16-X13,29.95,0.158,2
183,B16-X13,29.93,0.671,2
184,B16-X13,29.29,0.697,2
185,B16-X13,28.63,0.635,2
186,B16-X13,28.04,0.293,2
187,B16-X13,27.76,0.176,2
188,B16-X13,27.62,0.0731,2
189,B16-X13,27.55,0.173,2
190,B16-X13,27.46,0.149,2
191,B16-X13,27.41,0.101,2
192,B16-X13,27.38,1.93,2
193,B16-X13,29.22,0.365,2
194,B16-X13,28.93,0.33,2
195,B16-X13,28.65,0.236,2
196,B16-X13,28.53,0.289,2
197,B16-X13,28.39,0.0722,2
198,B16-X13,28.44,0.0649,2
199,B16-X13,28.48,0.306,2
200,B16-X13,28.42,0.225,2
201,B16-X13,28.21,0.129,2
202,B16-X13,28.13,0.392,2
203,B16-X13,27.95,0.411,2
204,B16-X13,27.73,0.436,2
205,B16-X13,27.99,0.0581,2
206,B16-X13,28.02,0.101,2
207,B16-X13,28.04,0.614,2
208,B16-X13,28.61,0.464,2
209,B16-X13,28.9,0.461,2
210,B16-X13,29.18,0.741,2
211,B16-X13,29.49,0.736,2
212,B16-X13,29.62,2.22,2
213,B16-X13,31.2,0.827,2
214,B16-X13,30.45,2.27,2
215,B16-X13,31.86,1.83,2
216,B16-X13,33.57,1.54,2
217,B16-X13,32.12,0.571,2
218,B16-X13,31.99,1.34,2
219,B16-X13,32.7,0.787,2
220,B16-X13,32.12,2.62,2
221,B16-X13,32.8,1.15,2
222,B16-X13,33.89,1.42,2
223,B16-X13,32.64,1.45,2
224,B16-X13,31.38,1.86,2
225,B16-X13,29.62,1.01,2
226,B16-X13,30.45,2.86,2
227,B16-X13,27.95,1.85,3
228,B16-X13,26.28,1.92,3
229,B16-X13,26.98,1.37,3
230,B16-X13,26.02,2.01,3
231,B16-X13,24.19,2.46,3
232,B16-X13,22.02,3.19,3
233,B16-X13,19.03,2.7,3
234,B16-X13,16.88,2.46,3
235,B16-X13,14.94,2.81,3
236,B16-X13,12.51,2.74,3
237,B16-X13,10.11,1.37,3
238,B16-X13,9.23,1.87,3
