序号,转换后JH,JX,Dogleg Severity,status,origin_status_predict,status_predict
2332,B16-X9,0.0,0.35,0,0,0
2333,B16-X9,0.16,0.1,0,0,0
2334,B16-X9,0.18,0.34,0,0,0
2335,B16-X9,0.32,0.188,0,0,0
2336,B16-X9,0.45,0.277,0,0,0
2337,B16-X9,0.22,0.177,0,0,0
2338,B16-X9,0.35,0.485,0,0,0
2339,B16-X9,0.16,0.157,0,0,0
2340,B16-X9,0.18,0.608,0,0,0
2341,B16-X9,0.5,0.129,0,0,0
2342,B16-X9,0.38,0.271,0,0,0
2343,B16-X9,0.17,0.4,0,0,0
2344,B16-X9,0.55,0.707,0,0,0
2345,B16-X9,0.69,0.624,0,0,0
2346,B16-X9,1.25,0.717,0,0,0
2347,B16-X9,1.82,0.563,0,0,0
2348,B16-X9,2.09,0.492,0,0,0
2349,B16-X9,2.5,4.24,1,1,1
2350,B16-X9,3.55,4.93,1,1,1
2351,B16-X9,4.61,3.79,1,1,1
2352,B16-X9,5.67,4.0,1,1,1
2353,B16-X9,6.72,4.24,1,1,1
2354,B16-X9,8.06,4.3,1,1,1
2355,B16-X9,9.4,3.11,1,1,1
2356,B16-X9,9.72,3.25,1,1,1
2357,B16-X9,10.05,3.32,1,1,1
2358,B16-X9,10.37,4.5,1,1,1
2359,B16-X9,11.74,4.54,1,1,1
2360,B16-X9,13.12,4.62,1,1,1
2361,B16-X9,14.5,4.33,1,1,1
2362,B16-X9,15.87,4.31,1,1,1
2363,B16-X9,17.22,4.34,1,1,1
2364,B16-X9,18.59,3.22,1,1,1
2365,B16-X9,19.45,3.22,1,1,1
2366,B16-X9,20.31,3.29,1,1,1
2367,B16-X9,21.18,3.96,1,1,1
2368,B16-X9,22.41,3.92,1,1,1
2369,B16-X9,23.63,3.97,1,1,1
2370,B16-X9,24.87,4.54,1,1,1
2371,B16-X9,26.28,4.58,1,1,1
2372,B16-X9,27.68,4.59,1,1,1
2373,B16-X9,29.09,4.15,1,1,1
2374,B16-X9,30.17,4.18,1,1,1
2375,B16-X9,31.24,4.17,1,1,1
2376,B16-X9,32.3,0.853,1,1,1
2377,B16-X9,31.68,0.289,2,2,2
2378,B16-X9,31.77,1.73,2,2,2
2379,B16-X9,32.26,0.412,2,2,2
2380,B16-X9,31.91,0.422,2,2,2
2381,B16-X9,31.55,1.51,2,2,2
2382,B16-X9,33.0,0.205,2,2,2
2383,B16-X9,33.18,0.567,2,2,2
2384,B16-X9,32.68,0.576,2,2,2
2385,B16-X9,32.17,0.326,2,2,2
2386,B16-X9,31.86,0.324,2,2,2
2387,B16-X9,31.55,0.346,2,2,2
2388,B16-X9,31.66,0.346,2,2,2
2389,B16-X9,31.77,0.369,2,2,2
2390,B16-X9,31.61,1.94,2,2,2
2391,B16-X9,33.44,0.313,2,2,2
2392,B16-X9,33.16,0.322,2,2,2
2393,B16-X9,32.87,0.505,2,2,2
2394,B16-X9,33.27,0.499,2,2,2
2395,B16-X9,33.66,0.32,2,2,2
2396,B16-X9,33.92,0.316,2,2,2
2397,B16-X9,34.17,0.158,2,2,2
2398,B16-X9,34.07,0.155,2,2,2
2399,B16-X9,33.97,0.15,2,2,2
2400,B16-X9,33.88,0.111,2,2,2
2401,B16-X9,33.79,0.143,2,2,2
2402,B16-X9,33.71,0.15,2,2,2
2403,B16-X9,33.62,0.325,2,2,2
2404,B16-X9,33.93,0.317,2,2,2
2405,B16-X9,34.23,0.191,2,2,2
2406,B16-X9,34.3,0.138,2,2,2
2407,B16-X9,34.37,0.349,2,2,2
2408,B16-X9,34.04,0.347,2,2,2
2409,B16-X9,33.71,0.435,2,2,2
2410,B16-X9,33.86,0.437,2,2,2
2411,B16-X9,34.01,0.12,2,2,2
2412,B16-X9,33.98,0.117,2,2,2
2413,B16-X9,33.97,0.127,2,2,2
2414,B16-X9,34.02,0.0779,2,2,2
2415,B16-X9,33.97,0.133,2,2,2
2416,B16-X9,34.03,0.12,2,2,2
2417,B16-X9,34.06,0.363,2,2,2
2418,B16-X9,34.39,0.362,2,2,2
2419,B16-X9,34.72,0.512,2,2,2
2420,B16-X9,34.24,0.543,2,2,2
2421,B16-X9,33.75,0.539,2,2,2
2422,B16-X9,33.31,0.54,2,2,2
2423,B16-X9,32.87,1.02,2,2,2
2424,B16-X9,31.92,1.01,2,2,2
2425,B16-X9,30.96,0.747,2,2,2
2426,B16-X9,30.76,0.748,2,2,2
2427,B16-X9,30.56,1.67,2,2,2
2428,B16-X9,32.14,1.67,2,2,2
2429,B16-X9,33.71,0.369,2,2,2
2430,B16-X9,33.49,0.366,2,2,2
2431,B16-X9,33.27,1.47,2,2,2
2432,B16-X9,34.68,1.46,2,2,2
2433,B16-X9,36.08,0.588,2,2,2
2434,B16-X9,35.53,0.599,2,2,2
2435,B16-X9,34.98,0.635,2,2,2
2436,B16-X9,34.37,0.657,2,2,2
2437,B16-X9,33.75,1.33,2,2,2
2438,B16-X9,34.83,1.36,2,2,2
2439,B16-X9,35.9,0.728,2,2,2
2440,B16-X9,35.24,0.751,2,2,2
2441,B16-X9,34.58,1.68,2,2,2
2442,B16-X9,32.98,1.67,3,3,3
2443,B16-X9,31.38,1.29,3,3,3
2444,B16-X9,32.6,1.33,3,3,3
2445,B16-X9,33.84,1.62,3,3,3
2446,B16-X9,32.3,1.6,3,3,3
2447,B16-X9,30.76,0.544,3,3,3
2448,B16-X9,31.14,0.501,3,3,3
2449,B16-X9,31.51,1.6,3,3,3
2450,B16-X9,33.0,0.463,3,3,3
2451,B16-X9,33.22,1.32,3,3,3
2452,B16-X9,31.96,2.49,3,3,3
2453,B16-X9,29.62,0.545,3,3,3
2454,B16-X9,29.84,0.546,3,3,3
2455,B16-X9,30.06,0.671,3,3,3
2456,B16-X9,29.42,0.668,3,3,3
2457,B16-X9,29.3,0.67,3,3,3
2458,B16-X9,28.78,0.849,3,3,3
2459,B16-X9,27.99,0.846,3,3,3
2460,B16-X9,27.2,0.942,3,3,3
2461,B16-X9,26.3,0.933,3,3,3
2462,B16-X9,25.4,1.14,3,3,3
2463,B16-X9,24.35,1.15,3,3,3
2464,B16-X9,23.29,0.777,3,3,3
2465,B16-X9,22.59,0.774,3,3,3
2466,B16-X9,21.88,0.458,3,3,3
2467,B16-X9,21.5,0.457,3,3,3
2468,B16-X9,21.14,0.354,3,3,3
2469,B16-X9,20.81,0.351,3,3,3
2470,B16-X9,20.48,0.238,3,3,3
2471,B16-X9,20.3,0.252,3,3,3
2472,B16-X9,20.13,0.309,3,3,3
2473,B16-X9,19.85,0.309,3,3,3
2474,B16-X9,19.56,0.463,3,3,3
2475,B16-X9,19.25,0.0,3,3,3
2476,B16-X9,19.25,0.0,3,3,3
