序号,转换后JH,JX,Dogleg Severity,status,origin_status_predict,status_predict
6970,BX454,0.0,0.247,0,0,0
6971,BX454,0.2,0.153,0,0,0
6972,BX454,0.3,0.149,0,0,0
6973,BX454,0.4,0.337,0,0,0
6974,BX454,0.31,0.1,0,0,0
6975,BX454,0.26,0.237,0,0,0
6976,BX454,0.15,0.15,0,0,0
6977,BX454,0.13,0.183,0,0,0
6978,BX454,0.19,0.246,0,0,0
6979,BX454,0.26,0.443,0,0,0
6980,BX454,0.4,0.106,0,0,0
6981,BX454,0.45,0.0819,0,0,0
6982,BX454,0.52,0.184,0,0,0
6983,BX454,0.66,0.346,0,0,0
6984,BX454,0.71,0.254,0,0,0
6985,BX454,0.75,0.56,0,0,0
6986,BX454,0.79,0.428,0,0,0
6987,BX454,0.75,0.405,0,0,0
6988,BX454,0.7,0.287,0,0,0
6989,BX454,0.92,0.321,0,0,0
6990,BX454,1.14,0.409,0,0,0
6991,BX454,1.12,0.106,0,0,0
6992,BX454,1.1,0.397,0,0,0
6993,BX454,1.0,0.111,0,0,0
6994,BX454,1.1,0.064,0,0,0
6995,BX454,1.1,0.127,0,0,0
6996,BX454,1.2,0.1,0,0,0
6997,BX454,1.2,0.118,0,0,0
6998,BX454,1.3,0.0992,0,0,0
6999,BX454,1.3,0.104,0,0,0
7000,BX454,1.3,0.489,0,0,0
7001,BX454,1.2,0.408,0,0,0
7002,BX454,1.3,0.722,0,0,0
7003,BX454,0.8,0.66,0,0,0
7004,BX454,0.2,0.613,0,0,0
7005,BX454,0.6,0.52,0,0,0
7006,BX454,1.1,0.236,0,0,0
7007,BX454,1.1,0.568,0,0,0
7008,BX454,1.0,0.011,0,0,0
7009,BX454,1.0,0.0054,0,0,0
7010,BX454,1.0,0.0834,0,0,0
7011,BX454,1.0,0.0,0,0,0
7012,BX454,1.0,0.352,0,0,0
7013,BX454,1.1,0.0482,0,0,0
7014,BX454,1.1,0.324,0,0,0
7015,BX454,1.2,0.38,0,0,0
7016,BX454,1.3,0.639,0,0,0
7017,BX454,1.5,4.98,0,0,0
7018,BX454,3.1,5.26,1,1,1
7019,BX454,4.7,5.54,1,1,1
7020,BX454,6.4,4.69,1,1,1
7021,BX454,7.9,5.6,1,1,1
7022,BX454,9.7,5.63,1,1,1
7023,BX454,11.5,4.44,1,1,1
7024,BX454,12.8,4.48,1,1,1
7025,BX454,14.2,3.42,1,1,1
7026,BX454,15.3,3.89,1,1,1
7027,BX454,16.5,2.83,1,1,1
7028,BX454,17.4,5.54,1,1,1
7029,BX454,19.1,4.34,1,1,1
7030,BX454,20.4,5.48,1,1,1
7031,BX454,22.1,5.4,1,1,1
7032,BX454,23.8,5.04,1,1,1
7033,BX454,25.3,5.46,1,1,1
7034,BX454,27.0,4.86,1,1,1
7035,BX454,28.4,5.06,1,1,1
7036,BX454,29.8,4.6,1,1,1
