序号,转换后JH,JX,Dogleg Severity,status,origin_status_predict,status_predict
5393,Z80-X10,0.0,0.323,0,0,0
5394,Z80-X10,0.22,0.187,0,0,0
5395,Z80-X10,0.13,0.286,0,0,0
5396,Z80-X10,0.23,0.479,0,0,0
5397,Z80-X10,0.4,0.157,0,0,0
5398,Z80-X10,0.41,0.157,0,0,0
5399,Z80-X10,0.4,0.0816,0,0,0
5400,Z80-X10,0.35,0.122,0,0,0
5401,Z80-X10,0.32,0.165,0,0,0
5402,Z80-X10,0.31,0.129,0,0,0
5403,Z80-X10,0.26,0.174,0,0,0
5404,Z80-X10,0.42,0.157,0,0,0
5405,Z80-X10,0.57,0.085,0,0,0
5406,Z80-X10,0.62,0.292,0,0,0
5407,Z80-X10,0.73,0.436,0,0,0
5408,Z80-X10,0.83,0.044,0,0,0
5409,Z80-X10,0.86,0.0781,0,0,0
5410,Z80-X10,0.92,0.0654,0,0,0
5411,Z80-X10,0.96,0.177,0,0,0
5412,Z80-X10,1.02,0.246,0,0,0
5413,Z80-X10,1.25,0.476,0,0,0
5414,Z80-X10,1.32,0.303,0,0,0
5415,Z80-X10,1.35,0.436,0,0,0
5416,Z80-X10,1.14,0.222,0,0,0
5417,Z80-X10,1.02,0.384,0,0,0
5418,Z80-X10,1.01,1.19,0,0,0
5419,Z80-X10,1.71,1.33,0,0,0
5420,Z80-X10,2.08,1.08,0,0,0
5421,Z80-X10,3.0,0.198,0,0,0
5422,Z80-X10,2.89,0.0296,0,0,0
5423,Z80-X10,2.87,0.0395,0,0,0
5424,Z80-X10,2.9,0.0645,0,0,0
5425,Z80-X10,2.84,0.0953,0,0,0
5426,Z80-X10,2.76,0.0598,0,0,0
5427,Z80-X10,2.78,0.0147,0,0,0
5428,Z80-X10,2.77,0.184,0,0,0
5429,Z80-X10,2.76,0.285,0,0,0
5430,Z80-X10,2.68,0.93,0,0,0
5431,Z80-X10,2.69,1.0,0,0,0
5432,Z80-X10,2.88,0.167,0,0,0
5433,Z80-X10,2.73,0.0745,0,0,0
5434,Z80-X10,2.67,0.445,0,0,0
5435,Z80-X10,2.25,0.335,0,0,0
5436,Z80-X10,2.57,0.335,0,0,0
5437,Z80-X10,2.89,0.282,0,0,0
5438,Z80-X10,2.65,0.357,0,0,0
5439,Z80-X10,2.99,1.12,0,0,0
5440,Z80-X10,2.45,0.286,0,0,0
5441,Z80-X10,2.71,1.3,0,0,0
5442,Z80-X10,2.38,0.511,0,0,0
5443,Z80-X10,2.86,0.139,0,0,0
5444,Z80-X10,2.74,0.228,0,0,0
5445,Z80-X10,2.95,0.0601,0,0,0
5446,Z80-X10,2.94,0.106,0,0,0
5447,Z80-X10,2.86,0.166,0,0,0
5448,Z80-X10,2.96,0.128,0,0,0
5449,Z80-X10,2.87,1.35,0,0,0
5450,Z80-X10,2.79,0.583,0,0,0
5451,Z80-X10,2.82,4.28,0,0,0
5452,Z80-X10,4.16,2.43,1,1,1
5453,Z80-X10,4.84,2.52,1,1,1
5454,Z80-X10,5.63,1.65,1,1,1
5455,Z80-X10,5.74,1.36,1,1,1
5456,Z80-X10,5.91,1.24,1,1,1
5457,Z80-X10,6.06,2.11,1,1,1
5458,Z80-X10,6.61,3.1,1,1,1
5459,Z80-X10,7.52,3.7,1,1,1
5460,Z80-X10,8.66,3.57,1,1,1
5461,Z80-X10,9.79,2.87,1,1,1
5462,Z80-X10,10.68,4.24,1,1,1
5463,Z80-X10,12.03,3.16,1,1,1
5464,Z80-X10,13.01,3.29,1,1,1
5465,Z80-X10,14.02,3.4,1,1,1
5466,Z80-X10,15.1,4.72,1,1,1
5467,Z80-X10,16.31,3.0,1,1,1
5468,Z80-X10,17.24,4.29,1,1,1
5469,Z80-X10,18.6,3.25,1,1,1
5470,Z80-X10,21.68,1.0,1,1,1
5471,Z80-X10,22.63,0.434,1,1,1
5472,Z80-X10,23.03,1.6,1,1,1
5473,Z80-X10,23.12,1.4,1,1,1
