序号,转换后JH,JX,Dogleg Severity,status,origin_status_predict,status_predict
267,B16-X14,0.0,0.0,0,0,0
268,B16-X14,0.0,0.552,0,0,0
269,B16-X14,0.46,0.276,0,0,0
270,B16-X14,0.6,0.201,0,0,0
271,B16-X14,0.44,0.0428,0,0,0
272,B16-X14,0.47,0.206,0,0,0
273,B16-X14,0.4,0.272,0,0,0
274,B16-X14,0.29,0.0485,0,0,0
275,B16-X14,0.33,0.136,0,0,0
276,B16-X14,0.38,0.0585,0,0,0
277,B16-X14,0.37,0.378,0,0,0
278,B16-X14,0.49,0.0,0,0,0
279,B16-X14,0.49,0.0,0,0,0
280,B16-X14,0.49,1.13,0,0,0
281,B16-X14,0.4,2.24,0,0,0
282,B16-X14,1.8,0.354,0,0,0
283,B16-X14,2.11,1.37,0,0,0
284,B16-X14,2.46,1.2,0,0,0
285,B16-X14,1.32,0.424,0,0,0
286,B16-X14,1.71,0.798,0,0,0
287,B16-X14,1.19,2.11,0,0,0
288,B16-X14,1.49,0.217,0,0,0
289,B16-X14,1.29,0.0327,0,0,0
290,B16-X14,1.26,0.0322,0,0,0
291,B16-X14,1.23,2.92,0,0,0
292,B16-X14,1.6,5.42,0,0,0
293,B16-X14,3.33,5.54,1,1,1
294,B16-X14,5.08,4.66,1,1,1
295,B16-X14,6.57,3.83,1,1,1
296,B16-X14,7.65,3.77,1,1,1
297,B16-X14,8.62,3.54,1,1,1
298,B16-X14,9.71,3.29,1,1,1
299,B16-X14,10.72,3.34,1,1,1
300,B16-X14,11.73,3.3,1,1,1
301,B16-X14,12.74,4.18,1,1,1
302,B16-X14,13.75,4.3,1,1,1
303,B16-X14,14.76,4.5,1,1,1
304,B16-X14,15.77,5.24,1,1,1
305,B16-X14,17.42,5.32,1,1,1
306,B16-X14,19.08,4.71,1,1,1
307,B16-X14,20.52,5.02,1,1,1
308,B16-X14,21.73,5.56,1,1,1
309,B16-X14,22.91,4.97,1,1,1
310,B16-X14,24.28,5.34,1,1,1
311,B16-X14,25.97,5.9,1,1,1
312,B16-X14,27.83,4.89,1,1,1
313,B16-X14,29.37,6.56,1,1,1
314,B16-X14,30.82,5.08,1,1,1
315,B16-X14,32.06,5.78,1,1,1
316,B16-X14,33.51,5.41,1,1,1
317,B16-X14,35.01,4.96,1,1,1
318,B16-X14,36.57,5.71,1,1,1
319,B16-X14,38.38,0.362,1,1,1
320,B16-X14,38.62,2.52,1,1,1
321,B16-X14,39.24,0.35,2,2,2
322,B16-X14,38.93,0.34,2,2,2
323,B16-X14,38.63,0.591,2,2,2
324,B16-X14,38.36,0.334,2,2,2
325,B16-X14,38.1,0.538,2,2,2
326,B16-X14,37.82,0.397,2,2,2
327,B16-X14,37.53,0.457,2,2,2
328,B16-X14,37.11,0.314,2,2,2
329,B16-X14,36.87,0.486,2,2,2
330,B16-X14,37.1,0.514,2,2,2
331,B16-X14,37.35,0.131,2,2,2
332,B16-X14,37.24,0.262,2,2,2
333,B16-X14,37.02,0.089,2,2,2
334,B16-X14,36.96,0.733,2,2,2
335,B16-X14,36.72,0.792,2,2,2
336,B16-X14,36.47,2.08,2,2,2
337,B16-X14,38.45,0.326,2,2,2
338,B16-X14,38.42,0.326,2,2,2
339,B16-X14,38.41,1.73,2,2,2
340,B16-X14,39.11,0.522,2,2,2
341,B16-X14,39.54,0.577,2,2,2
342,B16-X14,39.99,2.62,2,2,2
343,B16-X14,40.08,0.306,2,2,2
344,B16-X14,40.22,0.375,2,2,2
345,B16-X14,40.47,1.35,2,2,2
346,B16-X14,41.23,0.922,2,2,2
347,B16-X14,41.88,2.69,2,2,2
348,B16-X14,41.09,0.137,2,2,2
349,B16-X14,41.09,0.138,2,2,2
350,B16-X14,41.09,0.471,2,2,2
351,B16-X14,41.52,0.44,2,2,2
352,B16-X14,41.92,1.22,2,2,2
353,B16-X14,40.96,0.682,2,2,2
354,B16-X14,41.61,0.702,2,2,2
355,B16-X14,42.28,1.53,2,2,2
356,B16-X14,40.83,0.59,2,2,2
357,B16-X14,40.28,0.579,2,2,2
358,B16-X14,39.73,0.284,2,2,2
359,B16-X14,39.49,0.248,2,2,2
360,B16-X14,39.29,1.03,2,2,2
361,B16-X14,38.31,1.08,2,2,2
362,B16-X14,37.28,1.0,3,3,3
363,B16-X14,36.34,1.53,3,3,3
364,B16-X14,34.89,1.44,3,3,3
365,B16-X14,34.01,0.443,3,3,3
366,B16-X14,33.75,3.67,3,3,3
367,B16-X14,35.65,3.5,3,3,3
368,B16-X14,33.13,1.53,3,3,3
369,B16-X14,31.68,0.801,3,3,3
370,B16-X14,30.98,0.555,3,3,3
371,B16-X14,30.46,0.516,3,3,3
372,B16-X14,29.97,1.03,3,3,3
373,B16-X14,29.05,1.52,3,3,3
374,B16-X14,27.73,1.58,3,3,3
375,B16-X14,26.32,1.52,3,3,3
376,B16-X14,24.89,2.07,3,3,3
377,B16-X14,22.94,1.91,3,3,3
378,B16-X14,21.24,2.27,3,3,3
379,B16-X14,19.16,2.6,3,3,3
380,B16-X14,16.68,2.51,3,3,3
381,B16-X14,14.28,1.23,3,3,3
382,B16-X14,13.11,1.13,3,3,3
383,B16-X14,12.04,0.649,3,3,3
384,B16-X14,11.54,0.776,3,3,3
385,B16-X14,11.07,0.779,3,3,3
386,B16-X14,10.85,0.4,3,3,3
387,B16-X14,10.49,0.408,3,3,3
388,B16-X14,10.12,0.215,3,3,3
389,B16-X14,10.0,0.0,3,3,3
390,B16-X14,10.0,0.0,3,3,3
