序号,转换后JH,JX,Dogleg Severity,status,origin_status_predict,status_predict
6517,B509-P13,0.0,0.991,0,0,0
6518,B509-P13,0.52,0.126,0,0,0
6519,B509-P13,0.49,0.269,0,0,0
6520,B509-P13,0.33,0.125,0,0,0
6521,B509-P13,0.41,0.173,0,0,0
6522,B509-P13,0.3,0.23,0,0,0
6523,B509-P13,0.33,0.238,0,0,0
6524,B509-P13,0.19,0.101,0,0,0
6525,B509-P13,0.13,0.437,0,0,0
6526,B509-P13,0.36,0.988,0,0,0
6527,B509-P13,0.48,1.28,0,0,0
6528,B509-P13,0.33,1.32,0,0,0
6529,B509-P13,0.56,0.816,0,0,0
6530,B509-P13,0.52,1.06,0,0,0
6531,B509-P13,0.4,1.54,0,0,0
6532,B509-P13,0.7,0.841,0,0,0
6533,B509-P13,0.6,1.22,0,0,0
6534,B509-P13,0.99,0.295,0,0,0
6535,B509-P13,0.9,0.315,0,0,0
6536,B509-P13,1.2,0.324,0,0,0
6537,B509-P13,1.5,0.649,0,0,0
6538,B509-P13,1.2,0.081,0,0,0
6539,B509-P13,1.2,0.0152,0,0,0
6540,B509-P13,1.2,0.129,0,0,0
6541,B509-P13,1.2,0.022,0,0,0
6542,B509-P13,1.2,0.12,0,0,0
6543,B509-P13,1.3,0.174,0,0,0
6544,B509-P13,1.4,0.209,0,0,0
6545,B509-P13,1.6,0.121,0,0,0
6546,B509-P13,1.5,0.219,0,0,0
6547,B509-P13,1.7,1.16,0,0,0
6548,B509-P13,0.6,0.927,0,0,0
6549,B509-P13,0.6,1.29,0,0,0
6550,B509-P13,1.0,3.01,0,0,0
6551,B509-P13,1.9,2.32,0,0,0
6552,B509-P13,2.6,2.22,0,0,0
6553,B509-P13,3.3,3.87,0,1,1
6554,B509-P13,4.5,5.06,1,1,1
6555,B509-P13,6.1,4.72,1,1,1
6556,B509-P13,7.6,5.35,1,1,1
6557,B509-P13,9.3,5.09,1,1,1
6558,B509-P13,10.9,4.48,1,1,1
6559,B509-P13,12.3,4.38,1,1,1
6560,B509-P13,13.7,5.26,1,1,1
6561,B509-P13,15.3,5.38,1,1,1
6562,B509-P13,17.0,5.41,1,1,1
6563,B509-P13,18.7,4.76,1,1,1
6564,B509-P13,20.2,3.47,1,1,1
6565,B509-P13,21.3,4.46,1,1,1
6566,B509-P13,22.7,5.29,1,1,1
6567,B509-P13,24.4,4.42,1,1,1
6568,B509-P13,25.8,3.21,1,1,1
6569,B509-P13,26.8,4.82,1,1,1
6570,B509-P13,28.3,6.48,1,1,1
6571,B509-P13,30.3,5.57,1,1,1
6572,B509-P13,32.0,2.29,1,1,1
6573,B509-P13,32.7,1.37,1,1,1
6574,B509-P13,32.7,0.705,1,1,1
6575,B509-P13,32.9,0.311,1,1,1
6576,B509-P13,32.8,0.844,1,1,1
6577,B509-P13,32.8,1.38,1,1,1
6578,B509-P13,32.9,2.22,1,1,1
6579,B509-P13,32.2,0.733,1,1,1
6580,B509-P13,32.1,0.512,1,1,1
6581,B509-P13,32.1,0.737,1,1,1
6582,B509-P13,32.2,0.169,1,1,1
6583,B509-P13,32.2,0.353,1,1,1
6584,B509-P13,32.1,0.167,1,1,1
6585,B509-P13,32.1,0.167,1,1,1
6586,B509-P13,32.1,0.314,1,1,1
6587,B509-P13,32.2,1.39,1,1,1
6588,B509-P13,32.1,4.46,1,1,1
6589,B509-P13,33.5,4.88,1,1,1
6590,B509-P13,35.0,5.14,1,1,1
6591,B509-P13,36.6,7.88,1,1,1
6592,B509-P13,39.1,5.7,1,1,1
6593,B509-P13,40.9,4.57,1,1,1
6594,B509-P13,42.2,6.71,1,1,1
6595,B509-P13,44.3,5.66,1,1,1
6596,B509-P13,46.1,4.58,1,1,1
6597,B509-P13,46.2,4.5,1,1,1
6598,B509-P13,47.5,2.27,1,1,1
6599,B509-P13,48.2,5.09,1,1,1
6600,B509-P13,49.8,7.63,1,1,1
6601,B509-P13,52.2,8.68,1,1,1
6602,B509-P13,55.0,6.51,1,1,1
6603,B509-P13,57.0,6.02,1,1,1
6604,B509-P13,58.9,4.63,1,1,1
6605,B509-P13,60.4,5.55,1,1,1
6606,B509-P13,62.1,6.85,1,1,1
6607,B509-P13,64.3,6.3,1,1,1
6608,B509-P13,66.3,7.22,1,1,1
6609,B509-P13,68.6,2.18,1,1,1
6610,B509-P13,69.0,1.39,1,1,1
6611,B509-P13,69.4,6.6,1,1,1
6612,B509-P13,71.5,6.2,1,1,1
6613,B509-P13,73.4,7.87,1,1,1
6614,B509-P13,75.9,5.33,1,1,1
6615,B509-P13,77.6,8.21,1,1,1
6616,B509-P13,80.2,8.24,1,1,1
6617,B509-P13,82.8,7.87,1,1,1
6618,B509-P13,85.3,6.38,1,1,1
6619,B509-P13,87.1,0.694,1,1,1
6620,B509-P13,87.3,0.995,1,1,1
6621,B509-P13,87.6,0.313,1,1,1
6622,B509-P13,87.6,0.948,1,1,1
6623,B509-P13,87.9,0.62,1,1,1
6624,B509-P13,88.1,0.312,1,1,1
6625,B509-P13,88.1,0.296,1,1,1
6626,B509-P13,88.1,0.324,1,1,1
6627,B509-P13,88.1,0.0,1,1,1
6628,B509-P13,88.1,0.453,1,1,1
6629,B509-P13,88.2,3.15,1,1,1
6630,B509-P13,89.2,0.634,1,1,1
6631,B509-P13,89.4,2.49,1,1,1
6632,B509-P13,89.8,4.24,1,1,1
6633,B509-P13,90.6,3.79,1,1,1
6634,B509-P13,89.4,1.12,1,1,1
6635,B509-P13,89.1,5.32,1,1,1
6636,B509-P13,90.8,2.37,1,1,1
6637,B509-P13,91.5,1.61,1,1,1
6638,B509-P13,92.0,0.636,1,1,1
6639,B509-P13,92.0,1.31,1,1,1
6640,B509-P13,92.4,1.89,1,1,1
6641,B509-P13,93.0,0.622,1,1,1
6642,B509-P13,93.2,5.07,1,1,1
6643,B509-P13,94.8,0.619,1,1,1
6644,B509-P13,94.8,1.13,1,1,1
6645,B509-P13,95.1,0.314,1,1,1
6646,B509-P13,95.0,1.28,1,1,1
6647,B509-P13,94.6,0.984,1,1,1
6648,B509-P13,94.9,1.93,1,1,1
6649,B509-P13,94.3,0.932,1,1,1
6650,B509-P13,94.0,1.32,1,1,1
6651,B509-P13,93.7,1.55,1,1,1
6652,B509-P13,93.7,1.58,1,1,1
6653,B509-P13,94.0,1.55,1,1,1
6654,B509-P13,93.6,0.971,1,1,1
6655,B509-P13,93.3,1.69,1,1,1
6656,B509-P13,92.8,0.991,1,1,1
6657,B509-P13,92.5,0.0,1,1,1
6658,B509-P13,92.5,0.0,1,1,1
