序号,转换后JH,JX,Dogleg Severity,status,origin_status_predict,status_predict
5317,B64-XG8,0.0,0.0521,0,0,0
5318,B64-XG8,0.5,0.109,0,0,0
5319,B64-XG8,0.6,0.21,0,0,0
5320,B64-XG8,0.8,0.132,0,0,0
5321,B64-XG8,0.9,0.046,0,0,0
5322,B64-XG8,0.9,0.0803,0,0,0
5323,B64-XG8,0.9,0.205,0,0,0
5324,B64-XG8,0.8,0.159,0,0,0
5325,B64-XG8,0.8,0.133,0,0,0
5326,B64-XG8,0.7,0.129,0,0,0
5327,B64-XG8,0.7,0.231,0,0,0
5328,B64-XG8,0.6,0.108,0,0,0
5329,B64-XG8,0.7,0.0128,0,0,0
5330,B64-XG8,0.7,0.162,0,0,0
5331,B64-XG8,0.8,0.0766,0,0,0
5332,B64-XG8,0.8,0.211,0,0,0
5333,B64-XG8,0.6,0.0984,0,0,0
5334,B64-XG8,0.6,0.41,0,0,0
5335,B64-XG8,0.6,0.117,0,0,0
5336,B64-XG8,0.7,0.0818,0,0,0
5337,B64-XG8,0.7,0.144,0,0,0
5338,B64-XG8,0.6,0.109,0,0,0
5339,B64-XG8,0.7,0.147,0,0,0
5340,B64-XG8,0.7,0.14,0,0,0
5341,B64-XG8,0.8,0.495,0,0,0
5342,B64-XG8,0.8,0.117,0,0,0
5343,B64-XG8,0.8,0.128,0,0,0
5344,B64-XG8,0.8,0.114,0,0,0
5345,B64-XG8,0.9,0.17,0,0,0
5346,B64-XG8,0.8,0.106,0,0,0
5347,B64-XG8,0.7,0.229,0,0,0
5348,B64-XG8,0.6,0.269,0,0,0
5349,B64-XG8,0.8,0.243,0,0,0
5350,B64-XG8,0.9,0.189,0,0,0
5351,B64-XG8,0.8,0.256,0,0,0
5352,B64-XG8,0.8,0.216,0,0,0
5353,B64-XG8,0.6,0.121,0,0,0
5354,B64-XG8,0.5,0.115,0,0,0
5355,B64-XG8,0.4,0.243,0,0,0
5356,B64-XG8,0.6,0.127,0,0,0
5357,B64-XG8,0.6,0.109,0,0,0
5358,B64-XG8,0.5,0.121,0,0,0
5359,B64-XG8,0.4,2.02,0,0,0
5360,B64-XG8,1.6,1.22,0,0,0
5361,B64-XG8,2.7,4.35,1,1,1
5362,B64-XG8,6.9,3.14,1,1,1
5363,B64-XG8,9.9,4.33,1,1,1
5364,B64-XG8,14.0,0.689,1,1,1
5365,B64-XG8,14.5,0.314,2,1,1
5366,B64-XG8,14.7,0.298,2,1,1
5367,B64-XG8,14.9,0.477,2,2,2
5368,B64-XG8,15.1,0.281,2,2,2
5369,B64-XG8,15.3,0.338,2,2,2
5370,B64-XG8,15.6,0.518,2,2,2
5371,B64-XG8,16.1,0.775,2,2,2
5372,B64-XG8,16.8,0.634,2,2,2
5373,B64-XG8,16.2,0.309,2,2,2
5374,B64-XG8,16.0,1.81,2,2,2
5375,B64-XG8,17.7,0.158,2,2,2
5376,B64-XG8,17.7,0.3,2,2,2
5377,B64-XG8,17.8,0.328,2,2,2
5378,B64-XG8,18.0,0.326,2,2,2
5379,B64-XG8,18.3,0.419,2,2,2
5380,B64-XG8,18.7,0.311,2,2,2
5381,B64-XG8,18.5,0.217,2,2,2
5382,B64-XG8,18.3,0.55,2,2,2
5383,B64-XG8,18.0,0.259,2,2,2
5384,B64-XG8,17.9,0.141,2,2,2
5385,B64-XG8,18.0,0.121,2,2,2
5386,B64-XG8,18.1,0.129,2,2,2
5387,B64-XG8,18.1,0.277,2,2,2
5388,B64-XG8,18.2,0.0969,2,2,2
5389,B64-XG8,18.2,0.166,2,2,2
5390,B64-XG8,18.3,0.122,2,2,2
5391,B64-XG8,18.4,0.0956,2,2,2
5392,B64-XG8,18.5,0.0956,2,2,2
