序号,转换后JH,JX,Dogleg Severity,status,origin_status_predict,status_predict
6659,BX357C,0.0,0.596,0,0,0
6660,BX357C,0.46,0.301,0,0,0
6661,BX357C,0.54,0.473,0,0,0
6662,BX357C,0.18,0.099,0,0,0
6663,BX357C,0.09,0.18,0,0,0
6664,BX357C,0.17,0.187,0,0,0
6665,BX357C,0.3,0.0215,0,0,0
6666,BX357C,0.32,0.266,0,0,0
6667,BX357C,0.09,0.496,0,0,0
6668,BX357C,0.43,0.178,0,0,0
6669,BX357C,0.27,0.326,0,0,0
6670,BX357C,0.28,0.381,0,0,0
6671,BX357C,0.3,0.315,0,0,0
6672,BX357C,0.1,0.137,0,0,0
6673,BX357C,0.2,0.19,0,0,0
6674,BX357C,0.3,0.239,0,0,0
6675,BX357C,0.2,0.126,0,0,0
6676,BX357C,0.2,0.107,0,0,0
6677,BX357C,0.2,0.142,0,0,0
6678,BX357C,0.2,0.169,0,0,0
6679,BX357C,0.2,0.146,0,0,0
6680,BX357C,0.3,0.083,0,0,0
6681,BX357C,0.3,0.161,0,0,0
6682,BX357C,0.4,0.739,0,0,0
6683,BX357C,0.3,0.368,0,0,0
6684,BX357C,0.3,0.105,0,0,0
6685,BX357C,0.3,0.155,0,0,0
6686,BX357C,0.2,0.206,0,0,0
6687,BX357C,0.3,0.252,0,0,0
6688,BX357C,0.5,0.171,0,0,0
6689,BX357C,0.5,0.291,0,0,0
6690,BX357C,0.5,1.6,0,0,0
6691,BX357C,1.3,3.18,0,0,0
6692,BX357C,2.3,4.17,1,1,1
6693,BX357C,3.6,2.83,1,1,1
6694,BX357C,4.4,2.51,1,1,1
6695,BX357C,5.2,5.0,1,1,1
6696,BX357C,6.8,4.36,1,1,1
6697,BX357C,8.1,3.82,1,1,1
6698,BX357C,9.3,4.14,1,1,1
6699,BX357C,10.6,5.06,1,1,1
6700,BX357C,12.2,4.16,1,1,1
6701,BX357C,13.5,4.16,1,1,1
6702,BX357C,14.8,3.45,1,1,1
6703,BX357C,15.9,4.7,1,1,1
6704,BX357C,17.4,4.43,1,1,1
6705,BX357C,18.8,5.09,1,1,1
6706,BX357C,20.4,4.74,1,1,1
6707,BX357C,21.9,4.45,1,1,1
6708,BX357C,23.3,5.33,1,1,1
6709,BX357C,25.0,5.41,1,1,1
6710,BX357C,26.7,4.44,1,1,1
6711,BX357C,28.0,5.05,1,1,1
6712,BX357C,29.6,3.25,1,1,1
6713,BX357C,30.6,1.95,1,1,1
6714,BX357C,31.2,1.93,2,2,2
6715,BX357C,31.8,0.916,2,2,2
6716,BX357C,31.0,0.827,2,2,2
6717,BX357C,31.7,1.72,2,2,2
6718,BX357C,33.0,0.386,2,2,2
6719,BX357C,33.3,0.664,2,2,2
6720,BX357C,32.9,0.464,2,2,2
6721,BX357C,32.8,1.12,2,2,2
6722,BX357C,33.6,0.845,2,2,2
6723,BX357C,33.0,0.655,2,2,2
6724,BX357C,32.6,1.26,2,2,2
6725,BX357C,33.8,0.482,2,2,2
6726,BX357C,33.4,0.623,2,2,2
6727,BX357C,32.9,1.12,2,2,2
6728,BX357C,33.7,0.121,2,2,2
6729,BX357C,33.8,0.515,2,2,2
6730,BX357C,33.5,0.239,2,2,2
6731,BX357C,33.3,0.928,2,2,2
6732,BX357C,32.7,1.31,2,2,2
6733,BX357C,33.7,0.288,2,2,2
6734,BX357C,33.7,0.623,2,2,2
6735,BX357C,33.3,0.594,2,2,2
6736,BX357C,32.8,0.308,2,2,2
6737,BX357C,32.6,1.39,2,2,2
6738,BX357C,31.5,1.44,2,2,2
6739,BX357C,30.2,1.16,2,2,2
6740,BX357C,29.63,1.14,2,3,2
6741,BX357C,29.5,1.65,2,2,2
6742,BX357C,29.41,1.58,2,2,2
6743,BX357C,28.8,1.11,2,2,2
6744,BX357C,29.6,1.16,2,2,2
6745,BX357C,30.5,0.744,2,2,2
6746,BX357C,30.54,0.701,2,2,2
6747,BX357C,31.1,0.566,2,2,2
6748,BX357C,31.5,0.0,2,2,2
6749,BX357C,31.5,0.0,2,2,2
