序号,转换后JH,JX,Dogleg Severity,status,origin_status_predict,status_predict
7129,BX467,0.0,1.04,0,0,0
7130,BX467,0.41,0.449,0,0,0
7131,BX467,0.81,0.0831,0,0,0
7132,BX467,0.83,0.168,0,0,0
7133,BX467,0.98,0.0388,0,0,0
7134,BX467,0.96,0.0613,0,0,0
7135,BX467,1.01,0.137,0,0,0
7136,BX467,0.96,0.0416,0,0,0
7137,BX467,0.96,0.108,0,0,0
7138,BX467,1.01,0.724,0,0,0
7139,BX467,0.95,0.689,0,0,0
7140,BX467,0.88,0.143,0,0,0
7141,BX467,0.83,0.0835,0,0,0
7142,BX467,0.91,0.0809,0,0,0
7143,BX467,0.96,0.064,0,0,0
7144,BX467,1.02,0.112,0,0,0
7145,BX467,1.1,0.659,0,0,0
7146,BX467,1.01,0.518,0,0,0
7147,BX467,0.97,0.284,0,0,0
7148,BX467,1.01,0.224,0,0,0
7149,BX467,1.12,0.157,0,0,0
7150,BX467,1.27,0.193,0,0,0
7151,BX467,1.15,0.148,0,0,0
7152,BX467,1.13,0.149,0,0,0
7153,BX467,1.06,0.137,0,0,0
7154,BX467,1.0,0.0731,0,0,0
7155,BX467,0.94,0.0635,0,0,0
7156,BX467,0.89,0.0709,0,0,0
7157,BX467,0.83,0.15,0,0,0
7158,BX467,0.85,0.152,0,0,0
7159,BX467,0.86,0.156,0,0,0
7160,BX467,0.88,0.146,0,0,0
7161,BX467,0.91,0.151,0,0,0
7162,BX467,0.94,0.156,0,0,0
7163,BX467,0.97,0.0545,0,0,0
7164,BX467,0.98,0.058,0,0,0
7165,BX467,1.0,0.056,0,0,0
7166,BX467,1.01,0.0864,0,0,0
7167,BX467,0.95,0.0839,0,0,0
7168,BX467,0.89,0.0815,0,0,0
7169,BX467,0.83,0.00557,0,0,0
7170,BX467,0.83,0.0054,0,0,0
7171,BX467,0.83,0.00555,0,0,0
7172,BX467,0.83,0.0221,0,0,0
7173,BX467,0.85,0.0109,0,0,0
7174,BX467,0.86,0.0209,0,0,0
7175,BX467,0.88,0.0859,0,0,0
7176,BX467,0.89,0.173,0,0,0
7177,BX467,0.9,0.0348,0,0,0
7178,BX467,0.92,0.169,0,0,0
7179,BX467,0.94,0.0901,0,0,0
7180,BX467,0.97,0.0681,0,0,0
7181,BX467,0.92,0.069,0,0,0
7182,BX467,0.88,0.0856,0,0,0
7183,BX467,0.85,0.0286,0,0,0
7184,BX467,0.83,0.126,0,0,0
7185,BX467,0.71,0.0913,0,0,0
7186,BX467,0.63,0.0543,0,0,0
7187,BX467,0.58,1.3,0,0,0
7188,BX467,1.8,0.422,0,0,0
7189,BX467,1.76,0.234,0,0,0
7190,BX467,1.92,0.348,0,0,0
7191,BX467,2.24,0.104,0,0,0
7192,BX467,2.16,0.0862,0,0,0
7193,BX467,2.15,0.147,0,0,0
7194,BX467,2.06,0.137,0,0,0
7195,BX467,1.98,0.14,0,0,0
7196,BX467,1.89,0.149,0,0,0
7197,BX467,1.76,0.148,0,0,0
7198,BX467,1.62,0.142,0,0,0
7199,BX467,1.49,0.113,0,0,0
7200,BX467,1.58,0.115,0,0,0
7201,BX467,1.67,0.117,0,0,0
7202,BX467,1.76,0.683,0,0,0
7203,BX467,1.96,3.39,0,0,0
7204,BX467,3.05,4.3,1,1,1
7205,BX467,4.43,3.95,1,1,1
7206,BX467,5.7,4.53,1,1,1
7207,BX467,7.16,4.26,1,1,1
7208,BX467,8.53,4.23,1,1,1
7209,BX467,9.82,3.68,1,1,1
7210,BX467,10.89,4.64,1,1,1
7211,BX467,12.28,4.26,1,1,1
7212,BX467,13.25,4.9,1,1,1
7213,BX467,14.43,5.06,1,1,1
7214,BX467,15.6,2.57,1,1,1
7215,BX467,18.06,0.782,1,1,1
7216,BX467,17.31,0.981,2,2,2
7217,BX467,16.39,1.04,2,2,2
7218,BX467,17.27,0.364,2,2,2
7219,BX467,17.01,0.46,2,2,2
7220,BX467,16.57,2.2,2,2,2
7221,BX467,18.5,0.114,2,2,2
7222,BX467,18.59,0.965,2,2,2
7223,BX467,17.75,1.92,2,2,2
7224,BX467,18.54,2.11,2,2,2
7225,BX467,18.85,1.17,2,2,2
7226,BX467,17.93,1.37,2,2,2
7227,BX467,16.61,1.79,2,2,2
7228,BX467,14.94,1.0,2,2,2
7229,BX467,13.97,1.09,2,2,2
7230,BX467,12.92,0.208,2,2,2
7231,BX467,13.1,1.02,2,2,2
7232,BX467,13.93,1.02,2,2,2
7233,BX467,13.27,0.506,2,2,2
7234,BX467,13.1,0.22,2,2,2
7235,BX467,12.92,1.32,2,2,2
7236,BX467,11.65,0.661,2,2,2
7237,BX467,11.25,0.765,2,2,2
7238,BX467,10.55,0.652,2,2,2
7239,BX467,9.98,0.394,2,2,2
7240,BX467,9.67,0.404,2,2,2
7241,BX467,10.06,0.538,2,2,2
7242,BX467,9.67,0.742,2,2,2
7243,BX467,9.01,0.758,2,2,2
7244,BX467,8.67,0.406,2,2,2
7245,BX467,8.35,0.746,2,2,2
7246,BX467,8.79,0.956,2,2,2
7247,BX467,9.62,0.719,2,2,2
7248,BX467,9.32,0.3,2,2,2
7249,BX467,9.23,0.178,2,2,2
7250,BX467,9.36,0.581,2,2,2
7251,BX467,9.89,0.584,2,2,2
7252,BX467,10.42,0.789,2,2,2
7253,BX467,10.63,0.674,2,2,2
7254,BX467,10.46,0.625,2,2,2
7255,BX467,10.37,0.751,2,2,2
7256,BX467,10.59,0.501,2,2,2
7257,BX467,10.5,0.434,2,2,2
7258,BX467,10.5,0.897,2,2,2
7259,BX467,9.8,0.918,2,2,2
7260,BX467,9.32,0.415,2,2,2
7261,BX467,9.49,0.565,2,2,2
7262,BX467,9.62,0.38,2,2,2
7263,BX467,9.8,0.247,2,2,2
7264,BX467,9.8,0.34,2,2,2
7265,BX467,10.0,0.244,2,2,2
7266,BX467,10.2,0.511,2,2,2
7267,BX467,10.55,0.8,2,2,2
7268,BX467,11.16,0.181,2,2,2
7269,BX467,11.5,0.442,2,2,2
7270,BX467,12.0,0.442,2,2,2
