序号,转换后JH,JX,Dogleg Severity,status,origin_status_predict,status_predict
6002,Z80-X7,0.0,0.382,0,0,0
6003,Z80-X7,0.26,0.135,0,0,0
6004,Z80-X7,0.17,0.104,0,0,0
6005,Z80-X7,0.09,0.174,0,0,0
6006,Z80-X7,0.17,0.273,0,0,0
6007,Z80-X7,0.26,0.604,0,0,0
6008,Z80-X7,0.35,0.101,0,0,0
6009,Z80-X7,0.43,0.106,0,0,0
6010,Z80-X7,0.51,0.118,0,0,0
6011,Z80-X7,0.6,0.431,0,0,0
6012,Z80-X7,0.8,0.399,0,0,0
6013,Z80-X7,0.9,0.0828,0,0,0
6014,Z80-X7,0.9,0.11,0,0,0
6015,Z80-X7,0.8,0.0415,0,0,0
6016,Z80-X7,0.82,0.0483,0,0,0
6017,Z80-X7,0.85,0.0433,0,0,0
6018,Z80-X7,0.87,0.05,0,0,0
6019,Z80-X7,0.9,0.16,0,0,0
6020,Z80-X7,1.05,0.161,0,0,0
6021,Z80-X7,1.2,0.163,0,0,0
6022,Z80-X7,1.35,0.165,0,0,0
6023,Z80-X7,1.5,0.756,0,0,0
6024,Z80-X7,1.3,1.12,0,0,0
6025,Z80-X7,1.8,1.81,0,0,0
6026,Z80-X7,1.9,0.194,0,0,0
6027,Z80-X7,2.02,0.216,0,0,0
6028,Z80-X7,2.14,0.213,0,0,0
6029,Z80-X7,2.26,0.202,0,0,0
6030,Z80-X7,2.37,1.64,0,0,0
6031,Z80-X7,2.4,2.71,0,0,0
6032,Z80-X7,2.22,2.81,0,0,0
6033,Z80-X7,2.48,2.8,0,0,0
6034,Z80-X7,2.37,1.83,0,0,0
6035,Z80-X7,2.21,1.71,0,0,0
6036,Z80-X7,2.06,1.6,0,0,0
6037,Z80-X7,1.9,0.322,0,0,0
6038,Z80-X7,1.6,0.318,0,0,0
6039,Z80-X7,1.3,0.315,0,0,0
6040,Z80-X7,1.0,0.473,0,0,0
6041,Z80-X7,0.6,2.01,0,0,0
6042,Z80-X7,2.5,0.132,0,0,0
6043,Z80-X7,2.6,0.134,0,0,0
6044,Z80-X7,2.7,0.136,0,0,0
6045,Z80-X7,2.8,0.217,0,0,0
6046,Z80-X7,2.99,0.534,0,0,0
6047,Z80-X7,3.5,0.113,0,0,0
6048,Z80-X7,3.6,0.0325,0,0,0
6049,Z80-X7,3.6,0.111,0,0,0
6050,Z80-X7,3.7,0.156,0,0,0
6051,Z80-X7,3.78,0.158,0,0,0
6052,Z80-X7,3.86,0.161,0,0,0
6053,Z80-X7,3.94,0.163,0,0,0
6054,Z80-X7,4.02,0.166,0,0,0
6055,Z80-X7,4.1,0.524,0,0,0
6056,Z80-X7,4.6,0.357,0,0,0
6057,Z80-X7,4.83,1.24,0,0,0
6058,Z80-X7,5.23,5.11,0,0,0
6059,Z80-X7,6.88,4.96,1,1,1
6060,Z80-X7,8.53,5.48,1,1,1
6061,Z80-X7,10.35,4.35,1,1,1
6062,Z80-X7,11.79,4.46,1,1,1
6063,Z80-X7,13.24,4.48,1,1,1
6064,Z80-X7,14.68,3.03,1,1,1
6065,Z80-X7,15.65,3.01,1,1,1
6066,Z80-X7,16.61,3.04,1,1,1
6067,Z80-X7,17.58,3.93,1,1,1
6068,Z80-X7,18.84,3.95,1,1,1
6069,Z80-X7,20.11,3.94,1,1,1
6070,Z80-X7,21.37,4.48,1,1,1
6071,Z80-X7,25.66,0.144,1,1,1
6072,Z80-X7,25.71,0.244,1,1,1
6073,Z80-X7,25.8,0.64,1,1,1
6074,Z80-X7,26.37,0.652,1,1,1
6075,Z80-X7,26.95,0.645,1,1,1
6076,Z80-X7,27.52,0.647,1,1,1
6077,Z80-X7,28.09,0.658,1,1,1
6078,Z80-X7,28.67,0.652,1,1,1
6079,Z80-X7,29.24,0.332,1,1,1
6080,Z80-X7,29.56,0.332,1,1,1
6081,Z80-X7,29.88,0.331,1,1,1
6082,Z80-X7,30.2,0.31,1,1,1
6083,Z80-X7,30.5,0.377,1,1,1
6084,Z80-X7,30.82,0.377,1,1,1
6085,Z80-X7,31.14,0.378,1,1,1
6086,Z80-X7,31.46,0.38,1,1,1
6087,Z80-X7,31.78,0.379,1,1,1
